Aggr_Experiment,Aggr_Genotype,Aggr_Replicate,Aggr_Medium,Reference,MQ.Exp,Fractions,Isobaric.label,Isobaric.label.details,Aggr_Isobaric.set,Sample.name,Use,Ratio.name
MR2,WT,1,Normal,TRUE,TMT1,1;2;3;4;5;6;7;8;9,1,127N,1,NA,TRUE,NA
MR2,KO,1,Normal,FALSE,TMT1,1;2;3;4;5;6;7;8;9,3,128N,1,NA,TRUE,NA
MR2,WT,1,Serum-free,TRUE,TMT1,1;2;3;4;5;6;7;8;9,5,129N,1,NA,TRUE,NA
MR2,KO,1,Serum-free,FALSE,TMT1,1;2;3;4;5;6;7;8;9,7,130N,1,NA,TRUE,NA
MR2,WT,2,Normal,TRUE,TMT1,1;2;3;4;5;6;7;8;9,2,127C,1,NA,TRUE,NA
MR2,KO,2,Normal,FALSE,TMT1,1;2;3;4;5;6;7;8;9,4,128C,1,NA,TRUE,NA
MR2,WT,2,Serum-free,TRUE,TMT1,1;2;3;4;5;6;7;8;9,6,129C,1,NA,TRUE,NA
MR2,KO,2,Serum-free,FALSE,TMT1,1;2;3;4;5;6;7;8;9,8,130C,1,NA,TRUE,NA
MR2,Mixed,5,Mixed,TRUE,TMT1,1;2;3;4;5;6;7;8;9,9,131,1,NA,TRUE,NA
MR2,WT,3,Normal,TRUE,TMT2,1;2;3;4;5;6;7;8;9,1,127N,2,NA,TRUE,NA
MR2,KO,3,Normal,FALSE,TMT2,1;2;3;4;5;6;7;8;9,3,128N,2,NA,TRUE,NA
MR2,WT,3,Serum-free,TRUE,TMT2,1;2;3;4;5;6;7;8;9,5,129N,2,NA,TRUE,NA
MR2,KO,3,Serum-free,FALSE,TMT2,1;2;3;4;5;6;7;8;9,7,130N,2,NA,TRUE,NA
MR2,WT,4,Normal,TRUE,TMT2,1;2;3;4;5;6;7;8;9,2,127C,2,NA,TRUE,NA
MR2,KO,4,Normal,FALSE,TMT2,1;2;3;4;5;6;7;8;9,4,128C,2,NA,TRUE,NA
MR2,WT,4,Serum-free,TRUE,TMT2,1;2;3;4;5;6;7;8;9,6,129C,2,NA,TRUE,NA
MR2,KO,4,Serum-free,FALSE,TMT2,1;2;3;4;5;6;7;8;9,8,130C,2,NA,TRUE,NA
MR2,Mixed,6,Mixed,TRUE,TMT2,1;2;3;4;5;6;7;8;9,9,131,2,NA,TRUE,NA
